Date,Average Total Dose,Example Altitude (km),Monthly SSN,Smoothed SSN
2/17/2015,199.5152941,421.74,72.5,70.4
1/31/2015,202.3148387,422.2,67,72.8
12/31/2014,201.6242581,421.665,78,81.6
11/30/2014,236.732,421.13,70.1,78.2
10/31/2014,241.1803871,421.83,60.6,83.4
9/30/2014,255.6168,421.91,87.6,74.8
8/31/2014,259.5852903,420.94,74.6,76.2
7/31/2014,252.9821935,420.86,72.4,78.6
6/30/2014,249.8898667,421.48,71,79.7
5/31/2014,319.7212903,421.41,75.2,80.5
4/30/2014,242.1445333,421.29,84.7,81.9
3/31/2014,249.322,421.48,91.9,80.8
2/28/2014,195.1608571,421.24,102.3,78.3
1/31/2014,242.1569032,421.91,81.8,77.3
12/31/2013,253.4273548,422.01,90.3,75.9
11/30/2013,266.1829333,421.98,77.6,75.3
10/31/2013,273.5886452,421.59,85.6,74.9
9/30/2013,281.2528,421.79,37,73
8/31/2013,269.2289032,421.99,66,68.9
7/31/2013,224.9643243,422.21,57,65.5
6/30/2013,231.1856,422.07,52.5,62.6
5/31/2013,250.2356129,421.74,78.7,59.9
4/30/2013,255.6112,421.59,72.4,57.9
3/31/2013,268.28224,421.85,57.9,57.6
2/28/2013,243.1834286,421.51,38.1,58.4
1/31/2013,275.3316129,420.6,62.9,58.7
12/31/2012,292.6172903,420.46,40.8,59.6
11/30/2012,240.0562667,420.63,61.8,59.7
10/31/2012,267.096,420.01,53.3,58.6
9/30/2012,310.0438261,419.72,61.4,58.1
8/31/2012,269.5850323,420.05,63,58.2
7/31/2012,261.1816774,419.63,66.5,57.8
6/30/2012,254.5869333,418.64,64.5,58.9
5/31/2012,240.0446452,418.56,69,61.7
4/30/2012,179.5450667,418.54,55.2,64.6
3/31/2012,166.1220645,417.66,64.3,66.8
2/29/2012,209.5467586,416.38,32.9,66.9
1/31/2012,214.5042581,413.62,58.3,65.5
12/31/2011,211.1150968,412.09,73,63.4
11/30/2011,183.0549333,410.79,96.7,61.1
10/31/2011,182.5809032,409.34,88,59.9
