Year,Month,Year_Month,DecimalMonth,Monthly Number,SmoothedNumber
1998,1,1998_1,1998.042,31.9,43.7
1998,2,1998_2,1998.123,40.3,48.9
1998,3,1998_3,1998.204,54.8,53.4
1998,4,1998_4,1998.287,53.4,56.5
1998,5,1998_5,1998.371,56.3,59.4
1998,6,1998_6,1998.454,70.7,62.5
1998,7,1998_7,1998.538,66.6,65.5
1998,8,1998_8,1998.623,92.2,67.8
1998,9,1998_9,1998.706,92.9,69.5
1998,10,1998_10,1998.79,55.5,70.5
1998,11,1998_11,1998.873,74,73
1998,12,1998_12,1998.957,81.9,77.9
1999,1,1999_1,1999.042,62,82.6
1999,2,1999_2,1999.123,66.3,84.6
1999,3,1999_3,1999.203,68.8,83.8
1999,4,1999_4,1999.287,63.7,85.5
1999,5,1999_5,1999.37,106.4,90.5
1999,6,1999_6,1999.454,137.7,93.1
1999,7,1999_7,1999.537,113.5,94.3
1999,8,1999_8,1999.622,93.7,97.5
1999,9,1999_9,1999.706,71.5,102.3
1999,10,1999_10,1999.789,116.7,107.8
1999,11,1999_11,1999.873,133.2,111
1999,12,1999_12,1999.956,84.6,111.1
2000,1,2000_1,2000.041,90.1,112.9
2000,2,2000_2,2000.123,112.9,116.8
2000,3,2000_3,2000.205,138.5,119.9
2000,4,2000_4,2000.289,125.5,120.8
2000,5,2000_5,2000.372,121.6,119
2000,6,2000_6,2000.456,124.9,118.7
2000,7,2000_7,2000.539,170.1,119.8
2000,8,2000_8,2000.624,130.5,118.6
2000,9,2000_9,2000.708,109.7,116.3
2000,10,2000_10,2000.791,99.4,114.5
2000,11,2000_11,2000.875,106.8,112.7
2000,12,2000_12,2000.958,104.4,112
2001,1,2001_1,2001.043,95.6,108.7
2001,2,2001_2,2001.124,80.6,104
2001,3,2001_3,2001.205,113.5,104.8
2001,4,2001_4,2001.288,107.7,107.5
2001,5,2001_5,2001.372,96.6,108.6
2001,6,2001_6,2001.455,134,109.8
2001,7,2001_7,2001.539,81.8,111.7
2001,8,2001_8,2001.624,106.4,113.6
2001,9,2001_9,2001.707,150.7,114.1
2001,10,2001_10,2001.791,125.5,114
2001,11,2001_11,2001.874,106.5,115.5
2001,12,2001_12,2001.958,132.2,114.6
2002,1,2002_1,2002.042,114.1,113.5
2002,2,2002_2,2002.123,107.4,114.6
2002,3,2002_3,2002.204,98.4,113.3
2002,4,2002_4,2002.287,120.7,110.5
2002,5,2002_5,2002.371,120.8,108.8
2002,6,2002_6,2002.454,88.3,106.2
2002,7,2002_7,2002.538,99.6,102.7
2002,8,2002_8,2002.623,116.4,98.7
2002,9,2002_9,2002.706,109.6,94.6
2002,10,2002_10,2002.79,97.5,90.5
2002,11,2002_11,2002.873,95.5,85.2
2002,12,2002_12,2002.957,80.8,82
2003,1,2003_1,2003.042,79.7,80.8
2003,2,2003_2,2003.123,46,78.3
2003,3,2003_3,2003.203,61.1,74
2003,4,2003_4,2003.287,60,70.1
2003,5,2003_5,2003.37,54.6,67.6
2003,6,2003_6,2003.454,77.4,65
2003,7,2003_7,2003.537,83.3,61.8
2003,8,2003_8,2003.622,72.7,60
2003,9,2003_9,2003.706,48.7,59.5
2003,10,2003_10,2003.789,65.5,58.2
2003,11,2003_11,2003.873,67.3,56.7
2003,12,2003_12,2003.956,46.5,54.8
2004,1,2004_1,2004.041,37.3,52
2004,2,2004_2,2004.123,45.8,49.3
2004,3,2004_3,2004.205,49.1,47.1
2004,4,2004_4,2004.289,39.3,45.5
2004,5,2004_5,2004.372,41.5,43.8
2004,6,2004_6,2004.456,43.2,41.6
2004,7,2004_7,2004.539,51.1,40.2
2004,8,2004_8,2004.624,40.9,39.2
2004,9,2004_9,2004.708,27.7,37.5
2004,10,2004_10,2004.791,48,35.9
2004,11,2004_11,2004.875,43.5,35.3
2004,12,2004_12,2004.958,17.9,35.2
2005,1,2005_1,2005.043,31.3,34.6
2005,2,2005_2,2005.124,29.2,33.9
2005,3,2005_3,2005.205,24.5,33.5
2005,4,2005_4,2005.288,24.2,31.6
2005,5,2005_5,2005.372,42.7,28.9
2005,6,2005_6,2005.455,39.3,28.8
2005,7,2005_7,2005.539,40.1,29.1
2005,8,2005_8,2005.624,36.4,27.4
2005,9,2005_9,2005.707,21.9,25.8
2005,10,2005_10,2005.791,8.7,25.5
2005,11,2005_11,2005.874,18,24.9
2005,12,2005_12,2005.958,41.1,23
2006,1,2006_1,2006.042,15.3,20.8
2006,2,2006_2,2006.123,4.9,18.6
2006,3,2006_3,2006.204,10.6,17.4
2006,4,2006_4,2006.287,30.2,17.1
2006,5,2006_5,2006.371,22.3,17.3
2006,6,2006_6,2006.454,13.9,16.3
2006,7,2006_7,2006.538,12.2,15.2
2006,8,2006_8,2006.623,12.9,15.6
2006,9,2006_9,2006.706,14.4,15.5
2006,10,2006_10,2006.79,10.5,14.2
2006,11,2006_11,2006.873,21.4,12.6
2006,12,2006_12,2006.957,13.6,12.1
2007,1,2007_1,2007.042,16.8,11.9
2007,2,2007_2,2007.123,10.7,11.5
2007,3,2007_3,2007.203,4.5,10.7
2007,4,2007_4,2007.287,3.4,9.8
2007,5,2007_5,2007.37,11.7,8.6
2007,6,2007_6,2007.454,12.1,7.6
2007,7,2007_7,2007.537,9.7,6.9
